iter	Passed	Remaining
0	145	145749
1	146	73053
2	146	48813
3	147	36691
4	147	29431
5	148	24582
6	148	21129
7	149	18561
8	150	16542
9	150	14923
10	151	13595
11	151	12488
12	152	11552
13	152	10751
14	153	10058
15	153	9447
16	154	8909
17	154	8430
18	154	8001
19	155	7615
20	155	7269
21	156	6957
22	157	6677
23	157	6414
24	158	6172
25	158	5945
26	159	5740
27	159	5547
28	160	5367
29	160	5197
30	161	5039
31	161	4891
32	162	4751
33	162	4619
34	163	4495
35	163	4382
36	164	4275
37	164	4173
38	165	4075
39	165	3981
40	166	3891
41	166	3806
42	167	3725
43	167	3647
44	168	3572
45	168	3500
46	169	3430
47	169	3364
48	170	3301
49	170	3241
50	171	3184
51	171	3129
52	172	3077
53	172	3026
54	173	2977
55	173	2929
56	174	2883
57	174	2839
58	175	2795
59	175	2753
60	176	2711
61	176	2672
62	177	2633
63	177	2596
64	178	2562
65	178	2528
66	179	2495
67	179	2459
68	180	2428
69	180	2399
70	181	2369
71	181	2341
72	182	2312
73	182	2284
74	183	2257
75	183	2230
76	183	2204
77	184	2179
78	184	2155
79	185	2131
80	185	2109
81	186	2087
82	187	2068
83	187	2048
84	188	2027
85	188	2007
86	189	1985
87	189	1965
88	190	1945
89	190	1926
90	190	1907
91	191	1889
92	192	1872
93	192	1855
94	193	1839
95	193	1823
96	194	1808
97	194	1792
98	195	1777
99	195	1762
100	196	1747
101	196	1730
102	197	1716
103	197	1701
104	197	1687
105	198	1673
106	198	1660
107	199	1646
108	199	1633
109	201	1629
110	203	1633
111	204	1622
112	205	1611
113	205	1599
114	206	1588
115	206	1575
116	207	1564
117	207	1553
118	208	1541
119	208	1531
120	209	1521
121	210	1511
122	210	1499
123	210	1488
124	211	1478
125	211	1468
126	212	1458
127	212	1447
128	213	1438
129	213	1428
130	213	1419
131	214	1410
132	214	1400
133	215	1392
134	216	1384
135	216	1376
136	217	1367
137	217	1359
138	218	1350
139	218	1343
140	219	1335
141	219	1328
142	220	1320
143	220	1312
144	221	1304
145	221	1296
146	222	1289
147	222	1282
148	223	1275
149	223	1268
150	224	1261
151	224	1254
152	225	1247
153	225	1240
154	226	1233
155	226	1226
156	227	1219
157	227	1213
158	228	1207
159	228	1200
160	229	1194
161	229	1188
162	230	1182
163	230	1176
164	231	1170
165	231	1164
166	232	1158
167	232	1153
168	233	1147
169	233	1141
170	234	1135
171	234	1130
172	235	1124
173	235	1118
174	236	1113
175	236	1108
176	237	1102
177	237	1097
178	238	1092
179	238	1087
180	238	1081
181	239	1076
182	239	1071
183	240	1066
184	240	1061
185	241	1056
186	241	1051
187	242	1046
188	242	1041
189	243	1036
190	243	1032
191	244	1028
192	244	1023
193	245	1018
194	245	1014
195	246	1010
196	246	1005
197	247	1001
198	247	997
199	248	993
200	248	988
201	249	984
202	249	980
203	250	975
204	250	971
205	251	967
206	251	963
207	252	959
208	252	955
209	253	951
210	253	948
211	254	944
212	254	940
213	255	937
214	255	933
215	256	929
216	256	926
217	257	922
218	257	919
219	258	915
220	258	912
221	259	908
222	259	905
223	260	901
224	260	898
225	261	894
226	261	891
227	262	888
228	262	884
229	263	881
230	263	877
231	264	874
232	264	871
233	265	868
234	265	864
235	266	861
236	266	858
237	267	855
238	267	852
239	268	848
240	268	845
241	269	842
242	269	839
243	270	836
244	270	833
245	271	830
246	271	827
247	271	824
248	272	821
249	272	818
250	273	815
251	273	812
252	274	810
253	274	807
254	275	804
255	275	801
256	276	799
257	277	796
258	277	794
259	278	791
260	278	788
261	278	785
262	279	783
263	279	780
264	280	777
265	280	774
266	281	772
267	281	769
268	282	767
269	282	764
270	283	762
271	283	759
272	284	756
273	284	754
274	285	752
275	285	749
276	286	747
277	286	745
278	287	742
279	287	740
