iter	Passed	Remaining
0	1	1579
1	3	1798
2	5	1878
3	7	1915
4	9	1928
5	11	1938
6	14	2042
7	17	2182
8	20	2231
9	22	2249
10	24	2245
11	27	2258
12	29	2263
13	32	2279
14	33	2228
15	35	2202
16	36	2137
17	39	2136
18	40	2086
19	42	2083
20	44	2086
21	46	2060
22	48	2055
23	50	2050
24	52	2052
25	54	2050
26	56	2045
27	59	2049
28	61	2043
29	62	2032
30	64	2017
31	66	2006
32	67	1984
33	69	1979
34	71	1972
35	73	1973
36	75	1974
37	77	1955
38	79	1947
39	81	1947
40	83	1943
41	84	1933
42	86	1914
43	87	1908
44	89	1901
45	91	1894
46	92	1885
47	94	1871
48	96	1865
49	98	1868
50	99	1853
51	100	1839
52	102	1836
53	104	1833
54	106	1827
55	108	1822
56	109	1818
57	111	1818
58	113	1804
59	114	1799
60	116	1793
61	117	1784
62	119	1783
63	121	1773
64	123	1769
65	124	1768
66	126	1767
67	128	1765
68	130	1762
69	132	1757
70	134	1756
71	135	1746
72	136	1739
73	138	1736
74	140	1736
75	142	1737
76	144	1734
77	146	1731
78	148	1734
79	150	1730
80	152	1726
81	153	1720
82	154	1705
83	156	1704
84	158	1702
85	159	1699
86	161	1697
87	163	1696
88	165	1695
89	167	1691
90	168	1687
91	170	1686
92	172	1685
93	174	1681
94	175	1675
95	177	1672
96	179	1672
97	181	1668
98	182	1664
99	184	1663
100	186	1663
101	188	1663
102	190	1662
103	193	1666
104	195	1663
105	197	1663
106	198	1660
107	200	1658
108	202	1656
109	204	1653
110	206	1651
111	208	1651
112	210	1649
113	211	1646
114	213	1643
115	215	1642
116	216	1635
117	218	1632
118	220	1630
119	221	1627
120	223	1626
121	225	1621
122	227	1618
123	228	1616
124	230	1616
125	232	1613
126	234	1608
127	235	1603
128	237	1600
129	238	1598
130	240	1596
131	242	1593
132	244	1591
133	245	1589
134	247	1586
135	249	1583
136	250	1580
137	253	1580
138	254	1575
139	255	1571
140	257	1568
141	258	1562
142	260	1563
143	262	1562
144	264	1560
145	266	1558
146	268	1558
147	270	1555
148	272	1553
149	273	1552
150	275	1550
151	277	1547
152	279	1544
153	280	1542
154	282	1540
155	284	1540
156	286	1538
157	288	1536
158	290	1535
159	292	1535
160	293	1530
161	295	1527
162	297	1526
163	299	1526
164	301	1523
165	302	1521
166	304	1520
167	306	1518
168	308	1515
169	309	1512
170	311	1510
171	313	1508
172	315	1507
173	317	1505
174	318	1502
175	320	1502
176	322	1500
177	324	1497
178	326	1495
179	328	1494
180	329	1492
181	331	1490
182	333	1487
183	335	1486
184	336	1482
185	338	1481
186	340	1478
187	341	1476
188	344	1476
189	346	1475
190	347	1473
191	349	1472
192	351	1471
193	353	1469
194	355	1468
195	357	1466
196	359	1465
197	361	1462
198	362	1460
199	364	1459
200	366	1458
201	368	1456
202	370	1454
203	372	1452
204	374	1452
205	376	1450
206	378	1448
207	379	1446
208	381	1445
209	383	1443
210	385	1442
211	387	1439
212	388	1436
213	390	1433
214	392	1431
215	393	1429
216	395	1428
217	397	1425
218	399	1423
219	400	1421
220	402	1420
221	404	1418
222	406	1416
223	408	1415
224	410	1414
225	412	1412
226	414	1410
227	415	1407
228	417	1405
229	419	1405
230	421	1403
231	423	1401
232	425	1399
233	426	1397
234	428	1394
235	430	1392
236	431	1390
237	433	1387
238	434	1384
239	436	1382
240	438	1380
241	440	1379
242	441	1375
243	443	1373
244	445	1371
245	447	1370
246	449	1369
247	450	1366
248	452	1364
249	454	1362
250	456	1361
251	457	1359
252	459	1356
253	460	1353
254	462	1351
255	464	1349
256	466	1348
257	468	1346
258	470	1344
259	471	1342
260	473	1340
261	475	1338
262	476	1336
263	478	1334
264	480	1332
265	482	1330
266	484	1329
267	486	1327
268	487	1325
269	489	1323
270	491	1321
271	493	1320
272	495	1318
273	496	1315
274	498	1313
275	500	1311
276	502	1310
277	503	1308
278	505	1306
279	507	1304
280	509	1302
281	510	1300
282	512	1298
283	513	1295
284	516	1294
285	517	1292
286	519	1291
287	521	1288
288	523	1287
289	524	1284
290	526	1283
291	528	1281
292	530	1279
293	532	1278
294	533	1275
295	535	1274
296	537	1271
297	538	1268
298	540	1266
299	541	1263
300	543	1261
301	545	1260
302	547	1259
303	549	1257
304	550	1255
305	552	1253
306	555	1252
307	556	1250
308	558	1248
309	560	1246
310	561	1244
311	563	1242
312	565	1240
313	566	1238
314	568	1236
315	570	1234
316	572	1232
317	574	1231
318	575	1229
319	577	1227
320	579	1225
321	581	1223
322	583	1222
323	584	1220
324	586	1218
325	588	1216
326	590	1214
327	591	1212
328	593	1210
329	594	1207
330	596	1205
331	597	1203
332	599	1201
333	601	1199
334	603	1197
335	604	1195
336	606	1193
337	608	1191
338	610	1189
339	612	1188
340	614	1186
341	615	1184
342	617	1182
